stream_row_id,engine_id,mission_id,timestamp_s,altitude_m,ambient_temp_C,pressure_kPa,air_density_kg_m3,throttle_pct,load_pct,rpm,air_mass_flow_kg_s,fuel_flow_kg_s,torque_Nm,power_W,cht_C,egt_C,oil_temperature_C,oil_pressure_bar,vibration_rms,battery_voltage_V,alternator_current_A,injection_timing_deg,expected_rpm,expected_cht_C,expected_egt_C,physics_residual_C
2430,ENGINE_001,10,430,3048.0,26.03,26.436,0.30783,70.0,73.93,2329.54,0.01715,0.00536,260.09,63449.7,155.61,707.75,81.09,3.865,0.721,28.02,43.24,24.859,2332.5,154.85,706.54,0.75
2431,ENGINE_001,10,431,3048.0,26.02,26.436,0.30784,70.0,69.48,2300.78,0.01665,0.00488,245.34,59111.4,144.73,685.34,78.36,3.807,0.7709,27.999,41.02,24.763,2288.04,147.86,688.75,-3.13
2432,ENGINE_001,10,432,3048.0,26.01,26.436,0.30785,70.0,67.67,2268.76,0.0163,0.004709,239.42,56883.0,146.1,681.07,74.89,3.743,0.7058,28.075,39.96,24.593,2269.91,145.01,681.49,1.09
2433,ENGINE_001,10,433,3048.0,26.01,26.436,0.30785,70.0,71.3,2311.34,0.01685,0.005013,247.79,59975.3,150.15,697.17,78.1,3.831,0.7437,27.923,43.97,25.057,2306.2,150.7,696.0,-0.56
2434,ENGINE_001,10,434,3048.0,26.0,26.436,0.30786,70.0,71.45,2318.27,0.01691,0.005122,255.11,61932.9,149.46,701.18,78.27,3.827,0.7696,27.991,40.22,24.592,2307.7,150.94,696.6,-1.47
2435,ENGINE_001,10,435,3048.0,25.99,26.436,0.30787,70.0,71.72,2308.88,0.01686,0.005122,256.48,62013.9,152.63,700.21,79.38,3.804,0.7612,27.969,41.52,24.858,2310.44,151.36,697.69,1.26
2436,ENGINE_001,10,436,3048.0,25.99,26.436,0.30787,70.0,71.61,2321.4,0.01694,0.00516,250.11,60800.8,151.79,698.59,79.79,3.863,0.7631,28.015,42.19,24.986,2309.35,151.18,697.25,0.6
2437,ENGINE_001,10,437,3048.0,25.98,26.436,0.30788,70.0,68.65,2279.47,0.01645,0.004865,243.32,58081.0,148.61,687.3,77.26,3.754,0.6174,27.911,40.49,24.734,2279.75,146.53,685.41,2.08
2438,ENGINE_001,10,438,3048.0,25.98,26.436,0.30788,70.0,71.02,2296.24,0.01672,0.005063,249.78,60063.4,150.77,694.52,78.23,3.831,0.7324,28.083,41.4,24.762,2303.43,150.25,694.87,0.52
2439,ENGINE_001,10,439,3048.0,25.97,26.436,0.30789,70.0,70.75,2308.43,0.01679,0.005058,248.07,59969.1,150.03,693.72,79.35,3.805,0.7508,27.855,40.94,24.693,2300.71,149.81,693.78,0.22
2440,ENGINE_001,10,440,3048.0,25.96,26.436,0.3079,70.0,71.04,2308.04,0.01681,0.005062,255.9,61851.0,150.59,700.04,79.71,3.738,0.6903,28.044,41.92,24.815,2303.64,150.27,694.95,0.33
2441,ENGINE_001,10,441,3048.0,25.96,26.436,0.3079,70.0,69.82,2289.34,0.01659,0.00499,244.24,58554.1,148.15,698.71,78.47,3.788,0.6971,28.259,41.16,24.706,2291.43,148.34,690.06,-0.2
2442,ENGINE_001,10,442,3048.0,25.95,26.436,0.30791,70.0,71.57,2302.2,0.0168,0.005133,250.26,60333.0,149.74,704.55,79.01,3.764,0.8597,27.98,41.82,24.949,2308.89,151.08,697.04,-1.34
2443,ENGINE_001,10,443,3048.0,25.94,26.436,0.30792,70.0,70.76,2307.88,0.01679,0.0051,249.2,60226.9,150.75,689.46,78.69,3.756,0.7858,28.118,40.56,24.664,2300.82,149.81,693.8,0.94
2444,ENGINE_001,10,444,3048.0,25.94,26.436,0.30792,70.0,70.55,2290.92,0.01665,0.005038,247.15,59293.0,149.29,690.09,79.23,3.744,0.7351,27.956,41.65,24.64,2298.68,149.47,692.94,-0.18
2445,ENGINE_001,10,445,3048.0,25.93,26.436,0.30793,70.0,69.28,2270.82,0.01643,0.004956,239.43,56936.2,148.68,686.39,77.48,3.676,0.6759,28.154,39.12,24.583,2286.0,147.47,687.86,1.21
2446,ENGINE_001,10,446,3048.0,25.92,26.436,0.30794,70.0,71.24,2313.77,0.01687,0.00513,249.08,60352.0,149.61,697.35,79.17,3.839,0.751,27.981,41.98,24.932,2305.62,150.55,695.71,-0.94
2447,ENGINE_001,10,447,3048.0,25.92,26.436,0.30794,70.0,69.81,2297.47,0.01666,0.004948,248.34,59747.7,147.11,684.86,78.2,3.799,0.8681,28.01,43.57,24.771,2291.29,148.29,689.97,-1.18
2448,ENGINE_001,10,448,3048.0,25.91,26.436,0.30795,70.0,70.41,2302.01,0.01673,0.005055,248.36,59870.7,149.36,690.17,78.27,3.798,0.726,28.011,41.6,24.893,2297.25,149.22,692.35,0.14
2449,ENGINE_001,10,449,3048.0,25.9,26.436,0.30796,70.0,69.88,2290.05,0.01661,0.00503,246.41,59091.9,148.47,692.01,77.64,3.72,0.7302,27.877,40.94,24.674,2292.01,148.39,690.25,0.07
2450,ENGINE_001,10,450,3048.0,25.9,26.436,0.30797,70.0,71.15,2309.54,0.01683,0.005169,253.58,61329.6,150.69,691.86,79.29,3.821,0.6505,28.056,41.96,24.571,2304.75,150.39,695.34,0.3
2451,ENGINE_001,10,451,3048.0,25.89,26.436,0.30797,70.0,70.25,2290.38,0.01663,0.0051,248.16,59521.9,148.77,693.51,78.76,3.854,0.6802,27.994,41.14,24.847,2295.66,148.96,691.7,-0.19
2452,ENGINE_001,10,452,3048.0,25.88,26.436,0.30798,70.0,68.61,2280.53,0.01646,0.004803,238.05,56849.8,147.97,689.04,76.09,3.762,0.7163,27.984,42.26,24.791,2279.27,146.38,685.14,1.6
2453,ENGINE_001,10,453,3048.0,25.88,26.436,0.30799,70.0,71.45,2320.15,0.01693,0.005143,253.25,61531.2,148.34,700.97,79.21,3.793,0.7733,27.8,42.67,24.665,2307.7,150.84,696.5,-2.5
2454,ENGINE_001,10,454,3048.0,25.87,26.436,0.30799,70.0,71.25,2305.51,0.01681,0.005094,250.8,60550.9,149.74,697.33,78.44,3.747,0.8809,28.166,41.18,24.625,2305.73,150.52,695.71,-0.79
2455,ENGINE_001,10,455,3048.0,25.86,26.436,0.308,70.0,70.69,2303.45,0.01676,0.005003,248.37,59911.7,149.76,696.94,78.6,3.76,0.7213,28.228,40.27,24.648,2300.13,149.64,693.46,0.13
2456,ENGINE_001,10,456,3048.0,25.86,26.436,0.30801,70.0,70.37,2287.53,0.01662,0.005034,248.83,59607.7,149.25,687.56,79.28,3.838,0.7322,27.745,41.33,24.696,2296.87,149.12,692.15,0.13
2457,ENGINE_001,10,457,3048.0,25.85,26.436,0.30801,70.0,68.8,2277.85,0.01645,0.004716,238.06,56786.0,146.28,688.31,77.48,3.731,0.7507,28.013,40.86,24.701,2281.18,146.65,685.87,-0.37
2458,ENGINE_001,10,458,3048.0,25.84,26.436,0.30802,70.0,70.06,2292.25,0.01664,0.00499,245.19,58856.2,147.27,698.29,78.0,3.706,0.7289,28.015,41.43,24.774,2293.81,148.63,690.92,-1.36
2459,ENGINE_001,10,459,3048.0,25.84,26.436,0.30803,70.0,68.99,2290.85,0.01656,0.004913,241.82,58011.3,143.05,680.51,78.71,3.784,0.7641,28.179,41.79,24.643,2283.12,146.94,686.64,-3.89
2460,ENGINE_001,10,460,3048.0,25.83,26.436,0.30804,70.0,70.75,2315.16,0.01685,0.005088,253.77,61525.3,150.82,697.36,77.49,3.79,0.8219,27.929,43.06,24.979,2300.72,149.7,693.67,1.11
2461,ENGINE_001,10,461,3048.0,25.82,26.436,0.30804,70.0,71.06,2306.21,0.01681,0.00512,248.61,60041.1,150.42,696.72,78.53,3.753,0.8574,28.144,40.96,24.983,2303.81,150.18,694.9,0.24
2462,ENGINE_001,10,462,3048.0,25.82,26.436,0.30805,70.0,71.68,2297.95,0.01679,0.005073,253.91,61101.7,152.44,702.86,79.52,3.808,0.6087,27.917,40.13,24.788,2310.04,151.16,697.39,1.28
2463,ENGINE_001,10,463,3048.0,25.81,26.436,0.30806,70.0,70.23,2287.24,0.01661,0.005066,245.49,58798.8,146.04,687.11,77.55,3.751,0.6641,27.993,40.04,24.76,2295.49,148.86,691.56,-2.82
2464,ENGINE_001,10,464,3048.0,25.8,26.436,0.30806,70.0,70.76,2308.9,0.01681,0.005034,248.2,60010.8,148.3,690.13,77.66,3.807,0.7302,28.104,40.55,24.659,2300.79,149.69,693.68,-1.39
2465,ENGINE_001,10,465,3048.0,25.79,26.436,0.30807,70.0,69.48,2283.15,0.01654,0.004932,245.74,58754.8,147.41,694.26,78.35,3.762,0.7514,28.051,41.91,24.845,2288.04,147.68,688.57,-0.27
2466,ENGINE_001,10,466,3048.0,25.79,26.436,0.30808,70.0,68.27,2281.35,0.01645,0.004748,237.81,56812.5,143.65,676.66,77.79,3.817,0.6954,28.005,38.67,24.7,2275.91,145.77,683.71,-2.12
2467,ENGINE_001,10,467,3048.0,25.78,26.436,0.30809,70.0,69.07,2286.43,0.01654,0.004851,239.04,57234.3,146.5,679.93,76.88,3.782,0.7132,28.03,40.87,24.526,2283.93,147.02,686.92,-0.52
2468,ENGINE_001,10,468,3048.0,25.77,26.436,0.30809,70.0,70.94,2302.88,0.01678,0.005107,247.6,59711.6,151.18,698.27,80.39,3.809,0.7734,28.111,40.07,24.664,2302.56,149.95,694.36,1.23
2469,ENGINE_001,10,469,3048.0,25.77,26.436,0.3081,70.0,69.59,2291.08,0.0166,0.004974,245.93,59003.7,146.67,679.67,76.04,3.73,0.6274,27.99,40.69,24.714,2289.13,147.83,688.98,-1.16
2470,ENGINE_001,10,470,3048.0,25.76,26.436,0.30811,70.0,67.66,2271.1,0.01633,0.004688,238.15,56639.6,146.52,682.86,76.26,3.672,0.6536,28.035,39.82,24.794,2269.82,144.79,681.26,1.73
2471,ENGINE_001,10,471,3048.0,25.75,26.436,0.30812,70.0,69.9,2282.91,0.01656,0.004961,250.07,59784.1,147.17,682.65,77.17,3.865,0.7916,28.128,39.22,24.426,2292.17,148.3,690.19,-1.13
2472,ENGINE_001,10,472,3048.0,25.74,26.436,0.30812,70.0,69.51,2286.32,0.01656,0.004858,248.16,59416.0,148.77,689.87,77.64,3.794,0.6937,28.009,41.45,24.748,2288.32,147.69,688.64,1.08
2473,ENGINE_001,10,473,3048.0,25.74,26.436,0.30813,70.0,69.75,2305.61,0.01672,0.004984,246.72,59569.9,146.92,688.97,77.89,3.75,0.8466,27.955,39.97,24.707,2290.66,148.05,689.57,-1.13
2474,ENGINE_001,10,474,3048.0,25.73,26.436,0.30814,70.0,70.65,2292.0,0.01668,0.004942,248.91,59741.7,151.37,701.24,78.49,3.819,0.7581,28.072,41.46,24.668,2299.71,149.46,693.19,1.91
2475,ENGINE_001,10,475,3048.0,25.72,26.436,0.30815,70.0,73.11,2316.35,0.01702,0.005253,258.34,62665.3,153.8,698.05,79.63,3.813,0.8643,28.121,43.8,24.734,2324.27,153.32,703.0,0.48
2476,ENGINE_001,10,476,3048.0,25.72,26.436,0.30815,70.0,68.3,2273.09,0.01639,0.004665,238.7,56819.7,146.39,682.43,76.77,3.73,0.8038,28.12,39.53,24.797,2276.25,145.77,683.79,0.62
2477,ENGINE_001,10,477,3048.0,25.71,26.436,0.30816,70.0,72.23,2328.76,0.01705,0.005204,255.47,62301.2,150.56,700.74,79.82,3.803,0.7473,28.07,42.24,24.765,2315.5,151.93,699.48,-1.37
2478,ENGINE_001,10,478,3048.0,25.7,26.436,0.30817,70.0,70.14,2288.29,0.01662,0.004975,241.69,57916.0,147.69,685.06,78.3,3.778,0.6493,28.158,40.3,24.424,2294.63,148.64,691.13,-0.95
2479,ENGINE_001,10,479,3048.0,25.69,26.436,0.30818,70.0,71.68,2306.57,0.01686,0.005172,252.53,60997.7,151.62,693.55,78.35,3.851,0.7811,28.017,39.94,24.745,2309.97,151.05,697.26,0.57
2480,ENGINE_001,10,480,3048.0,25.69,26.436,0.30818,70.0,70.62,2292.28,0.01668,0.005083,250.17,60052.3,150.2,698.78,79.48,3.816,0.7264,27.954,42.8,24.795,2299.4,149.38,693.03,0.82
2481,ENGINE_001,10,481,3048.0,25.68,26.436,0.30819,70.0,70.06,2290.15,0.01663,0.004955,248.22,59530.3,147.13,690.55,77.59,3.859,0.7297,27.861,41.2,24.635,2293.81,148.5,690.79,-1.36
2482,ENGINE_001,10,482,3048.0,25.67,26.436,0.3082,70.0,70.66,2297.8,0.01673,0.00506,252.98,60874.1,151.21,689.66,78.8,3.773,0.7264,27.901,41.58,24.519,2299.75,149.42,693.16,1.79
2483,ENGINE_001,10,483,3048.0,25.66,26.436,0.30821,70.0,67.83,2274.97,0.01638,0.004652,236.06,56238.3,145.22,683.02,76.65,3.747,0.646,28.047,38.94,24.807,2271.52,144.98,681.86,0.24
2484,ENGINE_001,10,484,3048.0,25.66,26.436,0.30821,70.0,69.26,2274.38,0.01647,0.004906,248.9,59280.0,147.94,686.06,77.8,3.784,0.7587,28.047,40.07,24.641,2285.78,147.22,687.56,0.73
2485,ENGINE_001,10,485,3048.0,25.65,26.436,0.30822,70.0,70.35,2298.43,0.01671,0.004986,256.38,61707.8,149.41,690.72,77.53,3.811,0.7008,28.145,40.63,24.749,2296.7,148.93,691.92,0.48
2486,ENGINE_001,10,486,3048.0,25.64,26.436,0.30823,70.0,68.02,2266.51,0.01633,0.004723,241.76,57381.5,143.38,688.65,75.05,3.825,0.669,28.066,40.34,24.436,2273.41,145.26,682.6,-1.88
2487,ENGINE_001,10,487,3048.0,25.63,26.436,0.30824,70.0,70.09,2297.24,0.01669,0.004972,251.89,60596.0,150.66,692.11,79.28,3.875,0.7281,28.042,41.89,24.859,2294.12,148.51,690.87,2.15
2488,ENGINE_001,10,488,3048.0,25.63,26.436,0.30825,70.0,68.68,2269.6,0.0164,0.00478,242.58,57653.3,148.36,689.21,77.77,3.724,0.7891,27.944,41.09,24.533,2280.04,146.29,685.24,2.07
2489,ENGINE_001,10,489,3048.0,25.62,26.436,0.30825,70.0,70.68,2298.02,0.01673,0.005032,245.33,59039.0,148.98,694.44,79.73,3.698,0.7389,28.118,40.75,24.89,2299.96,149.41,693.2,-0.43
2490,ENGINE_001,10,490,3048.0,25.61,26.436,0.30826,70.0,70.71,2293.9,0.0167,0.005103,244.14,58645.3,152.23,690.78,78.6,3.661,0.6829,28.242,40.42,24.654,2300.34,149.47,693.35,2.76
2491,ENGINE_001,10,491,3048.0,25.6,26.436,0.30827,70.0,71.99,2313.87,0.01693,0.005243,246.87,59819.6,151.7,698.63,80.2,3.824,0.7657,27.968,41.21,24.808,2313.15,151.47,698.46,0.23
2492,ENGINE_001,10,492,3048.0,25.6,26.436,0.30828,70.0,70.56,2309.8,0.01681,0.005036,250.34,60553.5,149.49,697.88,77.78,3.785,0.8274,27.926,40.99,24.829,2298.79,149.21,692.71,0.28
2493,ENGINE_001,10,493,3048.0,25.59,26.436,0.30828,70.0,68.36,2281.0,0.01646,0.004766,242.74,57982.9,145.48,680.27,76.94,3.786,0.7775,27.933,40.04,24.526,2276.84,145.76,683.93,-0.27
2494,ENGINE_001,10,494,3048.0,25.58,26.436,0.30829,70.0,69.17,2289.23,0.01657,0.004836,245.68,58897.0,146.78,686.22,77.35,3.744,0.628,28.165,40.53,24.765,2284.86,147.01,687.13,-0.23
2495,ENGINE_001,10,495,3048.0,25.57,26.436,0.3083,70.0,68.07,2273.45,0.01639,0.004699,240.88,57347.0,147.99,683.27,76.66,3.811,0.7363,28.076,41.57,24.752,2273.94,145.29,682.76,2.7
2496,ENGINE_001,10,496,3048.0,25.56,26.436,0.30831,70.0,70.57,2297.55,0.01672,0.005081,248.26,59730.2,150.4,687.55,78.43,3.729,0.8201,28.008,40.63,24.507,2298.93,149.21,692.74,1.19
2497,ENGINE_001,10,497,3048.0,25.56,26.436,0.30832,70.0,69.29,2285.16,0.01655,0.004883,239.43,57295.3,147.39,690.69,78.14,3.74,0.7424,28.057,39.91,24.642,2286.14,147.19,687.62,0.2
2498,ENGINE_001,10,498,3048.0,25.55,26.436,0.30832,70.0,70.03,2291.75,0.01665,0.00488,241.21,57887.9,147.68,692.23,77.36,3.751,0.6466,27.839,41.37,24.543,2293.51,148.34,690.56,-0.66
2499,ENGINE_001,10,499,3048.0,25.54,26.436,0.30833,70.0,69.76,2286.46,0.01659,0.004876,244.23,58477.3,147.27,683.3,77.52,3.786,0.6409,28.172,40.17,24.455,2290.84,147.92,689.49,-0.65
2500,ENGINE_001,10,500,3048.0,25.53,26.436,0.30834,70.0,68.07,2268.75,0.01636,0.004697,234.67,55752.6,144.96,680.67,76.47,3.716,0.6677,28.07,40.2,24.642,2273.89,145.25,682.7,-0.29
2501,ENGINE_001,10,501,3048.0,25.53,26.436,0.30835,70.0,70.46,2292.55,0.01668,0.004881,240.17,57658.6,147.58,686.57,78.9,3.757,0.6592,28.085,39.86,24.688,2297.81,149.0,692.27,-1.42
2502,ENGINE_001,10,502,3048.0,25.52,26.436,0.30836,70.0,71.28,2304.0,0.01682,0.005075,250.85,60524.0,150.59,695.09,79.39,3.842,0.6788,27.955,41.47,24.659,2306.01,150.28,695.54,0.31
2503,ENGINE_001,10,503,3048.0,25.51,26.436,0.30836,70.0,68.92,2275.72,0.01646,0.004737,242.86,57875.7,148.65,684.93,78.03,3.792,0.6434,27.879,40.41,24.585,2282.39,146.57,686.08,2.09
2504,ENGINE_001,10,504,3048.0,25.5,26.436,0.30837,70.0,69.53,2289.94,0.01661,0.004921,243.79,58460.8,149.27,686.51,78.81,3.784,0.7238,28.02,39.96,24.507,2288.5,147.52,688.52,1.75
2505,ENGINE_001,10,505,3048.0,25.49,26.436,0.30838,70.0,71.07,2293.29,0.01673,0.005084,250.42,60139.3,147.25,692.48,79.33,3.731,0.7136,28.053,40.76,24.739,2303.91,149.94,694.68,-2.69
2506,ENGINE_001,10,506,3048.0,25.49,26.436,0.30839,70.0,68.9,2284.69,0.01653,0.004882,237.75,56881.7,146.68,682.44,77.27,3.778,0.723,28.017,40.36,24.762,2282.21,146.52,685.99,0.16
2507,ENGINE_001,10,507,3048.0,25.48,26.436,0.3084,70.0,69.84,2291.41,0.01664,0.004961,247.77,59453.7,144.91,689.2,77.05,3.806,0.7734,28.092,42.82,24.753,2291.58,147.99,689.74,-3.07
2508,ENGINE_001,10,508,3048.0,25.47,26.436,0.30841,70.0,70.65,2311.31,0.01684,0.005156,251.06,60767.7,150.45,695.32,77.41,3.798,0.6753,27.913,40.72,24.529,2299.73,149.26,692.99,1.19
2509,ENGINE_001,10,509,3048.0,25.46,26.436,0.30841,70.0,71.44,2316.64,0.01693,0.005109,250.37,60738.3,150.4,698.03,78.1,3.779,0.8549,27.912,43.29,24.837,2307.55,150.48,696.11,-0.08
2510,ENGINE_001,10,510,3048.0,25.46,26.436,0.30842,70.0,70.24,2288.21,0.01664,0.004963,240.27,57574.9,151.51,689.66,77.44,3.745,0.7929,27.921,41.38,24.844,2295.63,148.6,691.34,2.9
2511,ENGINE_001,10,511,3048.0,25.45,26.436,0.30843,70.0,68.86,2281.7,0.01651,0.004882,239.97,57337.3,147.04,678.6,77.5,3.767,0.6181,27.89,39.5,24.973,2281.83,146.43,685.81,0.61
2512,ENGINE_001,10,512,3048.0,25.44,26.436,0.30844,70.0,70.41,2299.64,0.01674,0.005021,248.96,59955.1,147.54,692.8,77.32,3.841,0.7653,27.958,41.34,24.636,2297.34,148.86,692.01,-1.32
2513,ENGINE_001,10,513,3048.0,25.43,26.436,0.30845,70.0,69.32,2282.19,0.01654,0.004887,241.09,57617.4,145.18,687.39,78.38,3.72,0.6997,27.966,41.08,24.775,2286.43,147.14,687.64,-1.95
2514,ENGINE_001,10,514,3048.0,25.42,26.436,0.30845,70.0,69.85,2285.38,0.0166,0.004991,252.41,60408.6,148.06,687.84,77.86,3.78,0.7467,28.017,42.08,24.903,2291.73,147.96,689.75,0.09
2515,ENGINE_001,10,515,3048.0,25.42,26.436,0.30846,70.0,68.36,2278.45,0.01645,0.004824,242.36,57827.3,146.01,686.68,75.83,3.794,0.75,28.09,40.21,24.749,2276.79,145.61,683.77,0.4
2516,ENGINE_001,10,516,3048.0,25.41,26.436,0.30847,70.0,68.69,2284.69,0.01652,0.00473,242.97,58130.8,145.53,689.47,78.0,3.78,0.699,28.037,41.68,25.05,2280.07,146.12,685.07,-0.59
2517,ENGINE_001,10,517,3048.0,25.4,26.436,0.30848,70.0,70.86,2302.04,0.01679,0.005053,250.85,60471.9,149.25,699.83,79.55,3.829,0.7314,27.857,42.21,24.703,2301.82,149.53,693.77,-0.28
2518,ENGINE_001,10,518,3048.0,25.39,26.436,0.30849,70.0,70.36,2295.59,0.01671,0.005023,244.31,58730.2,147.68,699.04,78.9,3.756,0.7052,28.08,39.97,24.668,2296.79,148.73,691.75,-1.05
2519,ENGINE_001,10,519,3048.0,25.38,26.436,0.3085,70.0,69.44,2286.31,0.01658,0.00478,244.43,58522.1,147.55,687.47,77.57,3.756,0.7509,27.889,39.73,24.482,2287.6,147.28,688.07,0.27
2520,ENGINE_001,10,520,3048.0,25.38,26.436,0.3085,70.0,68.73,2272.62,0.01644,0.004781,235.55,56058.8,145.53,693.72,77.36,3.685,0.7153,27.79,38.91,24.679,2280.54,146.17,685.24,-0.63
2521,ENGINE_001,10,521,3048.0,25.37,26.436,0.30851,70.0,71.84,2316.54,0.01696,0.005194,246.47,59791.7,150.29,695.94,78.18,3.784,0.7788,28.082,42.47,24.762,2311.63,151.05,697.67,-0.76
2522,ENGINE_001,10,522,3048.0,25.36,26.436,0.30852,70.0,70.76,2302.2,0.01678,0.005092,248.15,59825.8,147.69,693.58,78.08,3.755,0.7304,28.101,39.93,24.767,2300.76,149.33,693.31,-1.64
2523,ENGINE_001,10,523,3048.0,25.35,26.436,0.30853,70.0,73.21,2326.18,0.01712,0.00531,257.25,62665.9,155.57,710.0,80.09,3.785,0.6675,28.136,43.13,24.852,2325.3,153.18,703.12,2.39
2524,ENGINE_001,10,524,3048.0,25.34,26.436,0.30854,70.0,68.78,2284.34,0.01653,0.004773,244.77,58552.2,144.99,681.78,75.72,3.787,0.7231,28.027,42.0,24.665,2280.99,146.21,685.39,-1.22
2525,ENGINE_001,10,525,3048.0,25.33,26.436,0.30855,70.0,67.94,2291.03,0.01652,0.004732,235.71,56550.6,145.9,684.24,76.18,3.702,0.7657,28.148,42.55,24.705,2272.6,144.89,682.03,1.01
2526,ENGINE_001,10,526,3048.0,25.33,26.436,0.30855,70.0,70.55,2311.92,0.01684,0.005018,248.43,60144.9,148.65,697.23,78.57,3.751,0.81,27.838,41.79,24.695,2298.73,148.99,692.47,-0.34
2527,ENGINE_001,10,527,3048.0,25.32,26.436,0.30856,70.0,69.8,2294.38,0.01667,0.004911,243.98,58620.4,148.25,687.99,77.15,3.809,0.6332,27.964,41.71,24.78,2291.22,147.8,689.46,0.45
2528,ENGINE_001,10,528,3048.0,25.31,26.436,0.30857,70.0,69.7,2285.93,0.0166,0.004862,240.16,57490.4,147.57,688.28,77.54,3.753,0.7356,28.091,40.88,24.546,2290.25,147.64,689.07,-0.07
2529,ENGINE_001,10,529,3048.0,25.3,26.436,0.30858,70.0,68.37,2282.9,0.01649,0.004754,239.31,57209.7,144.83,689.22,76.25,3.713,0.7957,27.999,39.03,24.594,2276.87,145.53,683.71,-0.7
2530,ENGINE_001,10,530,3048.0,25.29,26.436,0.30859,70.0,70.04,2292.03,0.01667,0.004894,243.41,58423.8,147.87,690.03,77.07,3.792,0.7068,28.05,39.85,24.754,2293.59,148.15,690.39,-0.28
2531,ENGINE_001,10,531,3048.0,25.29,26.436,0.3086,70.0,69.1,2285.12,0.01655,0.004825,240.93,57652.7,145.26,685.26,77.59,3.752,0.8072,28.048,40.19,24.781,2284.2,146.67,686.63,-1.42
2532,ENGINE_001,10,532,3048.0,25.28,26.436,0.30861,70.0,68.55,2284.64,0.01652,0.004793,239.88,57391.1,148.22,680.01,77.42,3.772,0.6004,28.089,41.14,24.664,2278.69,145.8,684.42,2.42
2533,ENGINE_001,10,533,3048.0,25.27,26.436,0.30861,70.0,69.1,2287.84,0.01658,0.004829,249.54,59786.0,146.25,684.3,77.77,3.774,0.6766,28.193,40.28,24.652,2284.25,146.67,686.64,-0.41
2534,ENGINE_001,10,534,3048.0,25.26,26.436,0.30862,70.0,67.73,2271.89,0.01637,0.00479,240.36,57184.4,145.38,679.58,76.09,3.73,0.647,28.049,39.77,24.636,2270.54,144.51,681.15,0.87
2535,ENGINE_001,10,535,3048.0,25.25,26.436,0.30863,70.0,71.42,2311.47,0.0169,0.005115,254.34,61565.5,151.29,692.73,78.37,3.769,0.758,28.061,43.17,24.642,2307.39,150.29,695.88,1.0
2536,ENGINE_001,10,536,3048.0,25.24,26.436,0.30864,70.0,69.86,2299.46,0.01671,0.004986,247.25,59538.3,148.54,695.94,77.54,3.772,0.7198,27.909,40.23,24.683,2291.8,147.83,689.64,0.7
2537,ENGINE_001,10,537,3048.0,25.24,26.436,0.30865,70.0,69.81,2282.06,0.01658,0.004944,245.56,58683.4,148.46,686.96,78.32,3.77,0.804,27.956,39.76,24.837,2291.29,147.75,689.43,0.71
2538,ENGINE_001,10,538,3048.0,25.23,26.436,0.30866,70.0,71.92,2316.26,0.01697,0.005125,256.05,62106.8,149.36,704.95,79.69,3.828,0.8161,28.016,42.55,24.745,2312.42,151.06,697.87,-1.7
2539,ENGINE_001,10,539,3048.0,25.22,26.436,0.30866,70.0,69.14,2278.34,0.01651,0.004834,242.25,57798.6,144.31,694.36,76.41,3.764,0.7021,27.984,41.75,24.661,2284.64,146.69,686.75,-2.38
2540,ENGINE_001,10,540,3048.0,25.21,26.436,0.30867,70.0,68.36,2279.9,0.01647,0.004766,235.86,56311.0,142.87,688.05,76.67,3.74,0.7702,27.884,41.53,24.655,2276.81,145.45,683.61,-2.58
2541,ENGINE_001,10,541,3048.0,25.2,26.436,0.30868,70.0,70.83,2293.23,0.01673,0.005025,248.69,59722.0,147.91,692.18,78.53,3.789,0.6916,28.1,40.66,24.951,2301.49,149.32,693.48,-1.41
2542,ENGINE_001,10,542,3048.0,25.2,26.436,0.30869,70.0,68.33,2276.74,0.01645,0.00477,240.0,57219.7,146.05,681.33,76.31,3.688,0.7765,27.949,39.93,24.78,2276.5,145.39,683.48,0.66
2543,ENGINE_001,10,543,3048.0,25.19,26.436,0.3087,70.0,66.8,2262.11,0.01625,0.004567,241.64,57242.7,146.68,679.87,75.34,3.742,0.6008,27.998,41.55,24.744,2261.23,142.98,677.36,3.7
2544,ENGINE_001,10,544,3048.0,25.18,26.436,0.30871,70.0,70.89,2301.47,0.0168,0.005066,252.23,60788.8,152.02,693.87,78.01,3.821,0.9066,27.875,40.94,24.799,2302.11,149.4,693.71,2.62
2545,ENGINE_001,10,545,3048.0,25.17,26.436,0.30872,70.0,70.32,2300.99,0.01676,0.00504,246.14,59310.1,150.47,692.2,78.8,3.659,0.7787,28.066,41.3,24.789,2296.35,148.49,691.4,1.98
2546,ENGINE_001,10,546,3048.0,25.16,26.436,0.30872,70.0,69.41,2285.12,0.01658,0.004931,243.52,58273.7,145.53,692.89,77.58,3.805,0.8383,27.978,42.35,24.805,2287.33,147.06,687.78,-1.54
2547,ENGINE_001,10,547,3048.0,25.15,26.436,0.30873,70.0,68.12,2272.67,0.01641,0.004761,238.05,56654.4,146.47,677.6,77.1,3.807,0.7693,28.06,39.75,24.881,2274.36,145.02,682.59,1.45
2548,ENGINE_001,10,548,3048.0,25.15,26.436,0.30874,70.0,70.79,2300.5,0.01678,0.005056,246.68,59427.3,149.39,692.99,77.54,3.806,0.6998,27.726,40.59,24.756,2301.09,149.21,693.27,0.18
